State,County,MCO Name,Service Category,Number of Active Patients,Number of Eligible MCO Patients,Number of Providers,Percent Of Eligible Patients Receving Services,Number of Services per Active Patient,Number of Active Patients per Provider,Calendar Year,Plan Category
Arizona,All,Ltc Dd Des,Behavioral Health,14168,331178,3341,0.683420964,294.1857708,5:01,2020,Comprehensive MCO
Arizona,All,Ltc Dd Des,Behavioral Health,19160,171142,3559,0.679601319,295.4145094,6:01,2021,Comprehensive MCO
Arizona,All,Ltc Dd Des,Behavioral Health,21632,71034,3843,0.674545511,289.5373983,6:01,2022,Comprehensive MCO
Arizona,All,Ltc Dd Des,Behavioral Health,25367,90910,3695,0.670658841,267.4354476,7:01,2023,Comprehensive MCO
Arizona,All,Ltc Dd Des,Behavioral Health,30106,116141,3956,0.673436976,268.9771142,8:01,2024,Comprehensive MCO
Arizona,All,Ltc Dd Des,Behavioral Health,22994,154657,2321,0.501625254,26.01300339,10:01,2025,Comprehensive MCO
Arizona,All,Maricopa Hp,Behavioral Health,*,192883,0,0,,*,2020,Comprehensive MCO
Arizona,All,Maricopa Hp,Behavioral Health,*,736279,0,0,,*,2021,Comprehensive MCO
Arizona,All,Maricopa Hp,Behavioral Health,0,780072,0,0,,0,2022,Comprehensive MCO
Arizona,All,Maricopa Hp,Behavioral Health,0,789465,0,0,,0,2023,Comprehensive MCO
Arizona,All,Maricopa Hp,Behavioral Health,0,631276,0,0,,0,2024,Comprehensive MCO
Arizona,All,Maricopa Hp,Behavioral Health,*,594107,0,0,,*,2025,Comprehensive MCO
Arizona,All,Mercy Care,Behavioral Health,40774,662424,2180,0.164621714,57.16417325,19:01,2020,Comprehensive MCO
Arizona,All,Mercy Care,Behavioral Health,52222,367575,2450,0.173650206,49.27159052,22:01,2021,Comprehensive MCO
Arizona,All,Mercy Care,Behavioral Health,64673,357423,2782,0.172865608,46.70958514,24:01:00,2022,Comprehensive MCO
Arizona,All,Mercy Care,Behavioral Health,85789,310616,3062,0.179599262,49.20284652,29:01:00,2023,Comprehensive MCO
Arizona,All,Mercy Care,Behavioral Health,99827,368975,3339,0.071959731,53.23489637,30:01:00,2024,Comprehensive MCO
Arizona,All,Mercy Care,Behavioral Health,47217,308130,2098,0.038561709,12.58239617,23:01,2025,Comprehensive MCO
Arizona,All,Molina,Behavioral Health,2665,334471,1092,0.088877772,29.48630394,3:01,2020,Comprehensive MCO
Arizona,All,Molina,Behavioral Health,3192,215995,1212,0.098762376,33.60839599,3:01,2021,Comprehensive MCO
Arizona,All,Molina,Behavioral Health,3714,166761,1273,0.095221003,34.32956381,3:01,2022,Comprehensive MCO
Arizona,All,Molina,Behavioral Health,4587,154243,1344,0.093482514,35.79681709,4:01,2023,Comprehensive MCO
Arizona,All,Molina,Behavioral Health,5490,176013,1447,0.107756929,34.16357013,4:01,2024,Comprehensive MCO
Arizona,All,Molina,Behavioral Health,*,199576,772,0.061736932,11.49478563,*,2025,Comprehensive MCO
Arizona,All,Phoenix Hp,Behavioral Health,*,213951,0,0,,*,2020,Comprehensive MCO
Arizona,All,Phoenix Hp,Behavioral Health,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Phoenix Hp,Behavioral Health,*,,0,0,,*,2022,Comprehensive MCO
Arizona,All,Phoenix Hp,Behavioral Health,*,,0,0,,*,2023,Comprehensive MCO
Arizona,All,Phoenix Hp,Behavioral Health,*,,0,0,,*,2024,Comprehensive MCO
Arizona,All,Phoenix Hp,Behavioral Health,*,,0,0,,*,2025,Comprehensive MCO
Arizona,All,United Healthcare,Behavioral Health,25468,,2321,0.103544871,32.7032747,11:01,2020,Comprehensive MCO
Arizona,All,United Healthcare,Behavioral Health,32473,,2558,0.109785453,31.01318018,13:01,2021,Comprehensive MCO
Arizona,All,United Healthcare,Behavioral Health,40475,,2850,0.112740592,33.36802965,15:01,2022,Comprehensive MCO
Arizona,All,United Healthcare,Behavioral Health,51522,,3139,0.114968024,35.04334071,17:01,2023,Comprehensive MCO
Arizona,All,United Healthcare,Behavioral Health,60561,,3230,0.127891556,37.38889715,19:01,2024,Comprehensive MCO
Arizona,All,United Healthcare,Behavioral Health,25419,,1702,0.061543341,7.384672882,15:01,2025,Comprehensive MCO
Arizona,All,Az Complete Health,Pediatric Dental,17811,,546,0.293141757,7.159901185,33:01:00,2020,Comprehensive MCO
Arizona,All,Az Complete Health,Pediatric Dental,34679,,630,0.30465339,8.027307592,56:01:00,2021,Comprehensive MCO
Arizona,All,Az Complete Health,Pediatric Dental,57017,,653,0.405036584,9.256169213,88:01:00,2022,Comprehensive MCO
Arizona,All,Az Complete Health,Pediatric Dental,73563,,720,0.420093541,9.199230591,103:01:00,2023,Comprehensive MCO
Arizona,All,Az Complete Health,Pediatric Dental,92485,,747,0.223263752,9.475882576,124:01:00,2024,Comprehensive MCO
Arizona,All,Az Complete Health,Pediatric Dental,28720,,560,0.072283941,5.779805014,52:01:00,2025,Comprehensive MCO
Arizona,All,Banner University Family Care,Pediatric Dental,19886,,689,0.324235309,7.841597103,29:01:00,2020,Comprehensive MCO
Arizona,All,Banner University Family Care,Pediatric Dental,28361,,745,0.385743237,8.44014668,39:01:00,2021,Comprehensive MCO
Arizona,All,Banner University Family Care,Pediatric Dental,37103,,722,0.404022475,8.415788481,52:01:00,2022,Comprehensive MCO
Arizona,All,Banner University Family Care,Pediatric Dental,48139,,749,0.406092355,8.769667006,65:01:00,2023,Comprehensive MCO
Arizona,All,Banner University Family Care,Pediatric Dental,57361,,736,0.430693106,8.941824585,78:01:00,2024,Comprehensive MCO
Arizona,All,Banner University Family Care,Pediatric Dental,18598,,529,0.153654224,5.346919024,36:01:00,2025,Comprehensive MCO
Arizona,All,Bridgeway Health Solution,Pediatric Dental,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Care1st,Pediatric Dental,24037,,636,0.457090155,9.557349087,38:01:00,2020,Comprehensive MCO
Arizona,All,Care1st,Pediatric Dental,27422,,629,0.465142314,7.863941361,44:01:00,2021,Comprehensive MCO
Arizona,All,Care1st,Pediatric Dental,12070,,345,0.325372008,8.567357084,35:01:00,2022,Comprehensive MCO
Arizona,All,Care1st,Pediatric Dental,14872,,301,0.291808104,8.90182894,50:01:00,2023,Comprehensive MCO
Arizona,All,Care1st,Pediatric Dental,15804,,282,0.154634939,7.923437105,57:01:00,2024,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Pediatric Dental,*,,0,0,,*,2020,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Pediatric Dental,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Pediatric Dental,*,,0,0,,*,2022,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Pediatric Dental,*,,0,0,,*,2024,Comprehensive MCO
Arizona,All,Dcs/Chp,Pediatric Dental,1821,,560,0.376317421,8.358594179,4:01,2020,Comprehensive MCO
Arizona,All,Dcs/Chp,Pediatric Dental,2205,,703,0.459566486,8.334693878,4:01,2021,Comprehensive MCO
Arizona,All,Dcs/Chp,Pediatric Dental,*,,662,0.496876952,8.114393463,*,2022,Comprehensive MCO
Arizona,All,Dcs/Chp,Pediatric Dental,*,,657,0.550856726,8.576439444,*,2023,Comprehensive MCO
Arizona,All,Dcs/Chp,Pediatric Dental,*,,645,0.57968077,8.606206294,*,2024,Comprehensive MCO
Arizona,All,Dcs/Chp,Pediatric Dental,2152,,406,0.243438914,5.468866171,6:01,2025,Comprehensive MCO
Arizona,All,Health Choice Arizona,Pediatric Dental,22397,,438,0.36709172,9.175603876,52:01:00,2020,Comprehensive MCO
Arizona,All,Health Choice Arizona,Pediatric Dental,28212,,439,0.377943895,9.896816957,65:01:00,2021,Comprehensive MCO
Arizona,All,Health Choice Arizona,Pediatric Dental,33535,,449,0.366546798,9.886268078,75:01:00,2022,Comprehensive MCO
Arizona,All,Health Choice Arizona,Pediatric Dental,40720,,452,0.412237543,9.830500982,91:01:00,2023,Comprehensive MCO
Arizona,All,Health Choice Arizona,Pediatric Dental,34308,,454,0.31259567,8.908038941,76:01:00,2024,Comprehensive MCO
Arizona,All,Health Choice Arizona,Pediatric Dental,8200,,330,0.082912032,5.957926829,25:01:00,2025,Comprehensive MCO
Arizona,All,Ltc Dd Des,Pediatric Dental,4754,,685,0.381663455,8.042490534,7:01,2020,Comprehensive MCO
Arizona,All,Ltc Dd Des,Pediatric Dental,7369,,682,0.42937886,8.508481476,11:01,2021,Comprehensive MCO
Arizona,All,Ltc Dd Des,Pediatric Dental,8632,,701,0.438863186,8.281742354,13:01,2022,Comprehensive MCO
Arizona,All,Ltc Dd Des,Pediatric Dental,10489,,734,0.44876567,8.498808275,15:01,2023,Comprehensive MCO
Arizona,All,Ltc Dd Des,Pediatric Dental,13220,,725,0.469927485,8.954916793,19:01,2024,Comprehensive MCO
Arizona,All,Ltc Dd Des,Pediatric Dental,4241,,474,0.150871576,4.932563075,9:01,2025,Comprehensive MCO
Arizona,All,Maricopa Hp,Pediatric Dental,*,,0,0,,*,2020,Comprehensive MCO
Arizona,All,Maricopa Hp,Pediatric Dental,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Mercy Care,Pediatric Dental,51434,,685,0.440514222,9.749484777,76:01:00,2020,Comprehensive MCO
Arizona,All,Mercy Care,Pediatric Dental,65661,,721,0.471492582,10.87842098,92:01:00,2021,Comprehensive MCO
Arizona,All,Mercy Care,Pediatric Dental,77923,,710,0.461156516,9.842357199,110:01:00,2022,Comprehensive MCO
Arizona,All,Mercy Care,Pediatric Dental,92928,,714,0.438699687,9.928277806,131:01:00,2023,Comprehensive MCO
Arizona,All,Mercy Care,Pediatric Dental,106176,,727,0.163833648,10.05268611,147:01:00,2024,Comprehensive MCO
Arizona,All,Mercy Care,Pediatric Dental,34341,,479,0.057700256,5.86692292,72:01:00,2025,Comprehensive MCO
Arizona,All,Molina,Pediatric Dental,2782,,494,0.223220733,9.185478073,6:01,2020,Comprehensive MCO
Arizona,All,Molina,Pediatric Dental,4411,,534,0.335769201,9.729086375,9:01,2021,Comprehensive MCO
Arizona,All,Molina,Pediatric Dental,5337,,526,0.339979615,9.166010868,11:01,2022,Comprehensive MCO
Arizona,All,Molina,Pediatric Dental,6734,,528,0.336767353,8.8996139,13:01,2023,Comprehensive MCO
Arizona,All,Molina,Pediatric Dental,8069,,533,0.370562572,9.341554096,16:01,2024,Comprehensive MCO
Arizona,All,Molina,Pediatric Dental,2572,,347,0.135197645,5.735614308,8:01,2025,Comprehensive MCO
Arizona,All,Phoenix Hp,Pediatric Dental,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Phoenix Hp,Pediatric Dental,*,,0,0,,*,2022,Comprehensive MCO
Arizona,All,Phoenix Hp,Pediatric Dental,*,,0,0,,*,2023,Comprehensive MCO
Arizona,All,United Healthcare,Pediatric Dental,48409,,759,0.442155931,8.489475098,64:01:00,2020,Comprehensive MCO
Arizona,All,United Healthcare,Pediatric Dental,58383,,751,0.448979121,9.135741569,78:01:00,2021,Comprehensive MCO
Arizona,All,United Healthcare,Pediatric Dental,69198,,752,0.441446097,9.352495737,93:01:00,2022,Comprehensive MCO
Arizona,All,United Healthcare,Pediatric Dental,83097,,770,0.426319921,9.363538997,108:01:00,2023,Comprehensive MCO
Arizona,All,United Healthcare,Pediatric Dental,94318,,732,0.443317431,9.821518692,129:01:00,2024,Comprehensive MCO
Arizona,All,United Healthcare,Pediatric Dental,28040,,536,0.146399277,5.852960057,53:01:00,2025,Comprehensive MCO
Arizona,All,Az Complete Health,Prenatal Ob/Gyn,2500,,800,0.072644854,9.1328,4:01,2020,Comprehensive MCO
Arizona,All,Az Complete Health,Prenatal Ob/Gyn,3710,,865,0.060671475,9.936927224,5:01,2021,Comprehensive MCO
Arizona,All,Az Complete Health,Prenatal Ob/Gyn,5394,,856,0.067932798,10.73007045,7:01,2022,Comprehensive MCO
Arizona,All,Az Complete Health,Prenatal Ob/Gyn,7090,,895,0.069170732,13.2438646,8:01,2023,Comprehensive MCO
Arizona,All,Az Complete Health,Prenatal Ob/Gyn,9493,,950,0.040401934,13.33677447,10:01,2024,Comprehensive MCO
Arizona,All,Az Complete Health,Prenatal Ob/Gyn,3324,,506,0.015822619,5.920577617,7:01,2025,Comprehensive MCO
Arizona,All,Banner University Family Care,Prenatal Ob/Gyn,2427,,708,0.074785074,7.983518747,4:01,2020,Comprehensive MCO
Arizona,All,Banner University Family Care,Prenatal Ob/Gyn,2956,,734,0.071990453,8.366035183,5:01,2021,Comprehensive MCO
Arizona,All,Banner University Family Care,Prenatal Ob/Gyn,3946,,739,0.07401433,7.95717182,6:01,2022,Comprehensive MCO
Arizona,All,Banner University Family Care,Prenatal Ob/Gyn,5020,,817,0.070890938,8.251195219,7:01,2023,Comprehensive MCO
Arizona,All,Banner University Family Care,Prenatal Ob/Gyn,6247,,849,0.081636654,7.99391708,8:01,2024,Comprehensive MCO
Arizona,All,Banner University Family Care,Prenatal Ob/Gyn,1716,,415,0.026869598,3.719114219,5:01,2025,Comprehensive MCO
Arizona,All,Care1st,Prenatal Ob/Gyn,1566,,671,0.069087219,6.422094508,3:01,2020,Comprehensive MCO
Arizona,All,Care1st,Prenatal Ob/Gyn,1570,,652,0.058786086,6.963057325,3:01,2021,Comprehensive MCO
Arizona,All,Care1st,Prenatal Ob/Gyn,822,,257,0.036022613,5.434306569,4:01,2022,Comprehensive MCO
Arizona,All,Care1st,Prenatal Ob/Gyn,1068,,275,0.033348946,9.016853933,4:01,2023,Comprehensive MCO
Arizona,All,Care1st,Prenatal Ob/Gyn,1119,,262,0.018987986,11.0616622,5:01,2024,Comprehensive MCO
Arizona,All,Care1st,Prenatal Ob/Gyn,*,,0,0,,*,2025,Comprehensive MCO
Arizona,All,Cenpatico,Prenatal Ob/Gyn,*,,0,0,,*,2022,Comprehensive MCO
Arizona,All,Cenpatico,Prenatal Ob/Gyn,*,,0,0,,*,2023,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Prenatal Ob/Gyn,*,,0,0,,*,2020,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Prenatal Ob/Gyn,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Prenatal Ob/Gyn,*,,0,0,,*,2022,Comprehensive MCO
Arizona,All,Dcs/Chp,Prenatal Ob/Gyn,*,,115,0.021978022,3.5,*,2020,Comprehensive MCO
Arizona,All,Dcs/Chp,Prenatal Ob/Gyn,*,,88,0.02166065,3.166666667,*,2021,Comprehensive MCO
Arizona,All,Dcs/Chp,Prenatal Ob/Gyn,*,,126,0.012269939,6.166666667,*,2022,Comprehensive MCO
Arizona,All,Dcs/Chp,Prenatal Ob/Gyn,*,,109,0.015209125,8.416666667,*,2023,Comprehensive MCO
Arizona,All,Dcs/Chp,Prenatal Ob/Gyn,34,,119,0.027221777,7.529411765,1:04,2024,Comprehensive MCO
Arizona,All,Dcs/Chp,Prenatal Ob/Gyn,*,,16,0.012332991,2.166666667,*,2025,Comprehensive MCO
Arizona,All,Health Choice Arizona,Prenatal Ob/Gyn,1888,,674,0.062560058,6.822033898,3:01,2020,Comprehensive MCO
Arizona,All,Health Choice Arizona,Prenatal Ob/Gyn,2173,,701,0.05491534,7.624942476,4:01,2021,Comprehensive MCO
Arizona,All,Health Choice Arizona,Prenatal Ob/Gyn,2709,,700,0.053286911,7.514211886,4:01,2022,Comprehensive MCO
Arizona,All,Health Choice Arizona,Prenatal Ob/Gyn,3397,,694,0.062903913,8.207241684,5:01,2023,Comprehensive MCO
Arizona,All,Health Choice Arizona,Prenatal Ob/Gyn,3653,,655,0.062351716,7.212975636,6:01,2024,Comprehensive MCO
Arizona,All,Health Choice Arizona,Prenatal Ob/Gyn,442,,28,0.008958249,8.898190045,16:01,2025,Comprehensive MCO
Arizona,All,Ltc Dd Des,Prenatal Ob/Gyn,*,,60,0.001704061,5.666666667,*,2020,Comprehensive MCO
Arizona,All,Ltc Dd Des,Prenatal Ob/Gyn,*,,108,0.002825429,12.78571429,*,2021,Comprehensive MCO
Arizona,All,Ltc Dd Des,Prenatal Ob/Gyn,*,,90,0.001778094,8.9,*,2022,Comprehensive MCO
Arizona,All,Ltc Dd Des,Prenatal Ob/Gyn,17,,100,0.002632802,11.11764706,1:06,2023,Comprehensive MCO
Arizona,All,Ltc Dd Des,Prenatal Ob/Gyn,*,,117,0.003268864,15.125,*,2024,Comprehensive MCO
Arizona,All,Ltc Dd Des,Prenatal Ob/Gyn,*,,11,0.000539884,7,*,2025,Comprehensive MCO
Arizona,All,Maricopa Hp,Prenatal Ob/Gyn,*,,0,0,,*,2020,Comprehensive MCO
Arizona,All,Maricopa Hp,Prenatal Ob/Gyn,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Maricopa Hp,Prenatal Ob/Gyn,*,,0,0,,*,2022,Comprehensive MCO
Arizona,All,Maricopa Hp,Prenatal Ob/Gyn,*,,0,0,,*,2023,Comprehensive MCO
Arizona,All,Maricopa Hp,Prenatal Ob/Gyn,*,,0,0,,*,2024,Comprehensive MCO
Arizona,All,Mercy Care,Prenatal Ob/Gyn,4159,,701,0.077094185,8.717239721,6:01,2020,Comprehensive MCO
Arizona,All,Mercy Care,Prenatal Ob/Gyn,4976,,712,0.071678599,8.356109325,7:01,2021,Comprehensive MCO
Arizona,All,Mercy Care,Prenatal Ob/Gyn,5834,,708,0.064598997,8.642269455,9:01,2022,Comprehensive MCO
Arizona,All,Mercy Care,Prenatal Ob/Gyn,7753,,730,0.064677862,9.092351348,11:01,2023,Comprehensive MCO
Arizona,All,Mercy Care,Prenatal Ob/Gyn,9698,,744,0.027986518,11.33687358,14:01,2024,Comprehensive MCO
Arizona,All,Mercy Care,Prenatal Ob/Gyn,3363,,380,0.011541313,4.413321439,9:01,2025,Comprehensive MCO
Arizona,All,Molina,Prenatal Ob/Gyn,*,,442,0.079713262,8.235611511,*,2020,Comprehensive MCO
Arizona,All,Molina,Prenatal Ob/Gyn,533,,499,0.068907563,8.142589118,2:01,2021,Comprehensive MCO
Arizona,All,Molina,Prenatal Ob/Gyn,*,,482,0.068644068,10.00617284,*,2022,Comprehensive MCO
Arizona,All,Molina,Prenatal Ob/Gyn,789,,506,0.064927584,11.3130545,2:01,2023,Comprehensive MCO
Arizona,All,Molina,Prenatal Ob/Gyn,1025,,523,0.080222274,9.737560976,2:01,2024,Comprehensive MCO
Arizona,All,Molina,Prenatal Ob/Gyn,370,,236,0.03667724,4.605405405,2:01,2025,Comprehensive MCO
Arizona,All,Phoenix Hp,Prenatal Ob/Gyn,*,,0,0,,*,2021,Comprehensive MCO
Arizona,All,Phoenix Hp,Prenatal Ob/Gyn,*,,0,0,,*,2022,Comprehensive MCO
Arizona,All,Phoenix Hp,Prenatal Ob/Gyn,*,,0,0,,*,2023,Comprehensive MCO
Arizona,All,United Healthcare,Prenatal Ob/Gyn,3972,,814,0.074560745,8.729103726,5:01,2020,Comprehensive MCO
Arizona,All,United Healthcare,Prenatal Ob/Gyn,4919,,844,0.072844936,9.029274243,6:01,2021,Comprehensive MCO
Arizona,All,United Healthcare,Prenatal Ob/Gyn,5923,,828,0.069327559,9.005065001,8:01,2022,Comprehensive MCO
Arizona,All,United Healthcare,Prenatal Ob/Gyn,7645,,869,0.069529076,9.804316547,9:01,2023,Comprehensive MCO
Arizona,All,United Healthcare,Prenatal Ob/Gyn,9569,,903,0.081967775,12.54007733,11:01,2024,Comprehensive MCO
Arizona,All,United Healthcare,Prenatal Ob/Gyn,2285,,456,0.023708484,4.380743982,6:01,2025,Comprehensive MCO
Michigan,All,"A & D Home Health Care, Inc.",Behavioral Health,0,,0,0,,0,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,All,"A & D Home Health Care, Inc.",Behavioral Health,0,,0,0,,0,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,All,"A & D Home Health Care, Inc.",Behavioral Health,0,,0,0,,0,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,All,"A & D Home Health Care, Inc.",Behavioral Health,0,,0,0,,0,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,All,"A & D Home Health Care, Inc.",Behavioral Health,0,,0,0,,0,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,All,"A & D Home Health Care, Inc.",Behavioral Health,0,,0,0,,0,2025,Outpatient Specialty Health Plan (PAHP)
Michigan,All,Aetna Better Health,Behavioral Health,759,,880,0.026238462,6.061923584,1:02,2020,Comprehensive MCO
Michigan,All,Aetna Better Health,Behavioral Health,933,,984,0.025776329,7.306538049,1:02,2021,Comprehensive MCO
Michigan,All,Aetna Better Health,Behavioral Health,1139,,996,0.026950287,7.153643547,2:01,2022,Comprehensive MCO
Michigan,All,Aetna Better Health,Behavioral Health,1656,,1098,0.032565091,6.606884058,2:01,2023,Comprehensive MCO
Michigan,All,Aetna Better Health,Behavioral Health,2125,,1204,0.031147853,5.983058824,2:01,2024,Comprehensive MCO
Michigan,All,Aetna Better Health,Behavioral Health,1077,,615,0.018392022,3.408542247,2:01,2025,Comprehensive MCO
Michigan,All,Area Agency On Aging 1-B,Behavioral Health,*,,5,0.003291278,181.5,*,2020,Outpatient Specialty Health Plan (PAHP)
Michigan,All,Area Agency On Aging 1-B,Behavioral Health,*,,6,0.005073567,41.5,*,2021,Outpatient Specialty Health Plan (PAHP)
Michigan,All,Area Agency On Aging 1-B,Behavioral Health,*,,7,0.004563895,65.66666667,*,2022,Outpatient Specialty Health Plan (PAHP)
Michigan,All,Area Agency On Aging 1-B,Behavioral Health,*,,2,0.003085059,15.57142857,*,2023,Outpatient Specialty Health Plan (PAHP)
Michigan,All,Area Agency On Aging 1-B,Behavioral Health,14,,5,0.006839277,154.8571429,3:01,2024,Outpatient Specialty Health Plan (PAHP)
Michigan,All,Area Agency On Aging 1-B,Behavioral Health,*,,1,0.001357466,13.66666667,*,2025,Outpatient Specialty Health Plan (PAHP)
Michigan,All,Bcbs,Behavioral Health,8039,,3799,0.054206225,10.9185222,3:01,2020,Comprehensive MCO
Michigan,All,Bcbs,Behavioral Health,12170,,4526,0.064087711,12.25250616,3:01,2021,Comprehensive MCO
